,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code
129,1.64,20.64,1.64,13.35,11.9,78.88,9.44,3.41,20.69,3.46,1.64,22.46,10.03,10.96,172.95,1.64,1.45,67.72,353.19,52.68,0.17,47.32,4.08,375.64,111.32,75.07,7.93,75.58,81.54,87.51,237.9,12.67,-27.21,-12.53,5.63,7.63,0.2,0.91,-0.86,1256620,259418,149475,15915,523,149998,113488,96203,12711,-53199,7244041,4448891,3816006,2704604,3328240,3.45,0.96,280.99,2.28,0.91,0.17,118.42,1557.99,0.28,966.01,0.01,0,0.11,0,0.47,200413
130,-0.17,9.94,-0.17,0.21,0.22,89.83,-0.44,-0.84,-0.61,-0.71,-0.17,13.97,11.76,1679.14,4749.56,0.83,0.73,32.38,105.49,75.49,0.0,24.51,0.0,175.17,307.93,84.68,0.0,91.62,169.71,285.38,173.16,25.26,-14.28,4.13,4.55,-9.49,-0.01,1.89,0.92,703228,69903,1536,24778,-65,1472,-3626,-19881,78626,-54150,1777651,1038080,1341876,1243632,431256,-0.85,2.42,111.58,4.88,1.83,0.38,55.32,702.58,0.62,432.07,0.11,0.04,1.29,0.06,6.32,002506
131,1.51,4.85,1.69,1.52,1.41,95.01,1.51,5.4,26.21,6.25,1.51,5.23,6.59,132.28,313.41,1.13,0.86,29.18,211.47,75.78,0.58,24.22,4.35,428.11,312.87,120.78,15.23,54.05,142.47,257.22,155.96,6.05,40.05,8.94,6.92,32.45,0.19,3.33,0.71,4168125,202350,58742,79586,5822,64563,45049,-104631,-257258,270632,4166850,2728928,3157599,2414694,833487,5.4,8.47,31.88,6.62,10.89,1.12,40.77,241.78,1.7,159.13,-0.06,-0.06,-4.08,-0.08,-10.65,200016
132,7.89,20,8.2,36.11,31.41,79.51,26.04,9.21,24.61,9.42,7.89,20.61,11.91,38.4,60.27,3.82,3.54,43.78,-4732.62,16.21,0.0,83.79,0.0,1646.98,19.35,57.71,0.0,47.54,56.51,16.43,689.55,5.12,-31.88,77.28,-17.21,-17.4,0.24,2.76,0.17,54596,10921,17148,5988,970,18118,13605,278,3912,1930,180176,94860,29211,24807,147704,9.58,2.53,106.86,6.35,3.81,0.31,42.54,857.69,0.55,490.82,0.07,0.02,0.28,0.13,15.77,002137
133,2.23,29.08,2.25,6.85,5.86,70.27,5.75,5.04,14.95,5.02,2.23,30.18,17.93,0.57,477.51,1.13,0.77,32.17,426.9,55.58,0.15,44.42,1.02,164.76,125.14,95.06,2.25,62.46,97.25,115.27,192.44,29.62,21.23,-27.09,8.24,30.18,0.15,1.77,0.37,56861,16536,3330,-113,133,3463,3253,821,11079,-26872,146756,83364,81571,73636,64526,5.16,3.63,74.48,1.6,0.94,0.39,168.29,691.24,0.66,412.21,0.19,0.08,3.39,0.14,15.05,300666
134,2.63,29.72,2.66,18.49,15.44,69.26,12.03,2.99,51.09,2.99,2.63,34.4,12.96,-0.31,193.08,5,4.9,380.77,-148.08,12.1,0.18,87.9,5.85,349.33,13.77,62.4,7.07,71.75,48.47,13.05,438.22,25.26,-22.83,-71.45,-1.66,2.58,0.51,11.12,1.15,40178,11940,6203,-2,-19,6184,4832,3721,7195,-8871,183606,105376,22223,21065,161383,2.97,2.07,130.66,13.72,0.58,0.22,19.68,1220.61,0.37,734.89,0.18,0.04,1.49,0.32,34.15,603773
135,3.1,15.02,3.17,5.62,5.14,84.69,4.79,6.24,26.17,6.06,3.1,16.32,6.8,2.63,291.29,1.68,1.26,45.07,28613.8,48.89,0.3,51.11,8.22,1369.05,95.67,55.52,13.85,50.82,64.45,94.13,204.82,3.96,11.1,-24.75,7.78,10.05,0.33,5.8,0.87,98295,14766,5051,115,18,5069,4850,4118,4710,685,152140,102029,74389,60685,77737,6.41,2.94,91.69,3.14,11.65,0.66,85.97,408.78,0.94,287.36,0.05,0.03,1,0.06,7.76,002885
136,2.24,26.48,3.53,5.6,4.65,73.41,4.03,1.77,43.86,4.94,2.24,17.47,9.65,0.14,568.75,1.44,0.88,44.45,364.6,54.63,0.29,45.37,5.54,698.58,120.41,73.23,10.88,74.49,82.17,108.13,188.7,4.24,202.11,64.25,373.79,325.47,0.17,2.22,0.19,940597,249078,43722,-10,72,43794,13513,6169,-24459,15475,1688277,1058896,922289,734767,764011,2.38,5.69,47.49,2.76,6.8,0.88,97.89,308.32,1.43,189.06,-0.03,-0.01,-0.65,-0.03,-3.33,603501
137,8.34,45.16,8.51,57.2,34.88,54.09,29.15,9.33,50.3,9.33,8.34,45.56,6.29,0.27,129.14,6.36,5.57,393.53,-735.47,10.61,,89.39,,368.6,11.87,,,56.65,46.87,10.22,,23.64,15.29,2.4,10.93,9.84,0.51,7.13,1.94,46512,21005,16221,889,44,16265,13560,13062,15387,-21896,162560,94459,17250,14851,145310,9.73,3.05,88.46,2.31,0.74,0.29,116.81,924.66,0.48,565.45,0.33,0.09,1.13,0.89,103.61,300623
138,3.09,37.32,3.28,20.08,15.03,62.35,13.84,4.13,20.26,4.17,3.09,40.46,12.55,8.31,247.01,2.25,1.88,33.83,4350.46,25.76,0.0,74.24,0.0,1277.02,34.7,56.32,0.0,63.41,57.97,34.08,421.77,5.88,47.7,24.41,31.75,32.91,0.19,1.89,-0,235170,87769,35347,2766,186,35533,30795,28468,-93824,-102718,1051290,598844,270839,266002,745184,4.22,1.14,235.97,1.75,2.45,0.24,154.3,1138.76,0.43,623.84,-0.4,-0.09,-2.88,-0.35,-35.27,000547
139,1.13,42.68,1.25,17.3,12.52,56.77,9.26,1.88,7.23,1.42,1.13,54.37,15.05,1.49,340.81,2.92,2.58,130.75,-420.71,20.93,0.07,79.07,1.93,695.47,26.46,68.54,2.38,88.43,70.21,21.71,570.57,11.58,-11.86,-49.26,75.4,25.63,0.08,1.76,0.3,50125,21391,6277,94,-1,6277,5074,5074,14879,29709,412347,183424,86285,62823,270169,1.97,1.22,221.98,1.45,0.81,0.14,186.22,1995.57,0.31,873.22,0.3,0.04,3.21,0.17,23.68,300456
140,9.8,74.23,12.63,195.58,55.28,25.77,53.71,10.38,65.81,10.38,9.8,73.6,2.48,3,134.33,28.76,28.45,2744.44,-653.4,5.62,,94.38,,15754.61,5.95,,,49.78,1.58,3.63,,0.58,10.64,31.99,204.61,183.49,0.71,3.56,0.95,138435,102757,76530,2328,-34,76496,74351,71492,63852,-11399,758909,747561,42629,25991,716280,15.89,5.89,45.83,3.51,35.86,0.24,76.87,1147.96,0.24,1127.35,0.46,0.08,0.86,1.5,245.67,688008
141,5.53,17.3,5.72,10.63,9.17,82.19,8,5.03,16.71,6.59,5.53,22.95,4.23,5.03,187.19,4.66,4.05,70.33,-2310.81,16.19,0.0,83.81,0.0,287.15,19.31,58.42,0.0,63.42,35.04,18.09,287.3,19.92,7.4,24.51,7.27,7.33,0.12,1.51,0.59,152037,26307,13947,601,106,14054,8450,7917,7177,-17337,220035,155406,35617,33361,167953,5.03,3.38,79.79,6.4,1.25,0.71,42.2,377.78,1.03,261.5,0.05,0.03,0.59,0.2,21.51,002079
142,22.47,60.37,26.41,84.38,42.05,38.63,36.6,29.93,375.51,29.93,22.47,61.72,10.13,2.67,143.76,3.39,3.19,24.67,-29089.44,24.93,,75.07,,2849.89,33.21,,,69.27,22.1,32.73,,2.53,97.77,437.22,55.36,64.23,3.82,2.86,-0.14,467822,282402,196701,5512,-262,196438,171231,162119,178915,-15255,761988,635556,189970,187210,572018,34.8,4.6,58.72,4.63,16.77,0.72,58.33,374.12,0.86,314.72,0.38,0.23,1.04,0.94,95.57,603160
143,2.48,46.89,2.43,28.82,24.1,51.88,20.58,2.89,4.54,2.89,2.48,56.42,30.51,17.99,194.57,20.13,17,794.81,369.12,14.16,,85.84,,1169.13,16.5,,,74.22,20.2,4.78,,7.09,-15.5,-44.13,12.57,2.08,0.05,1.62,-0.09,9829,4609,2369,426,0,2369,2022,1249,1018,-18750,81613,67460,11556,3352,70057,3.11,1.26,215,0.51,0.89,0.12,532.02,2282.33,0.14,1916.25,0.1,0.01,0.5,0.09,30.38,603023
144,-0.61,20.32,-0.6,-14.14,-9.93,78.86,-4.28,-4.02,-2.13,-3.9,-0.61,23.89,-1.88,11.63,-184.6,0.63,0.4,4.37,175.97,84.36,-0.21,15.64,5,64.62,539.46,283.64,24.23,65.18,374.33,451.38,131.36,23.56,-26.69,-194.07,-74.75,-27.28,-0.02,2.48,0.17,60961,12384,-6056,-128,-652,-6709,-2607,4049,8887,596,427881,177403,360968,280638,64857,-3.94,0.79,343.38,0.7,0.44,0.14,383.63,1910.83,0.33,807.66,0.15,0.02,-1.87,0.02,3.17,600666
145,0.6,32.59,0.61,2.74,2.1,66.75,2.02,1.53,2.86,1.48,0.6,47.3,26.74,18.01,1263.19,1.06,0.8,11.19,160.22,59.91,1.58,40.09,4.92,237.75,149.44,100.42,10.93,90.05,112.74,141.19,168.61,16.57,25.57,-9.98,-17.88,-3.98,0.03,1.46,0,79203,25809,1663,-12,380,2043,1612,1150,6521,-637,268971,147405,161141,139015,105534,1.49,1,269.25,1.55,0.92,0.3,174.19,898.5,0.56,485.35,0.08,0.02,4.07,0.04,4.69,600405
146,0.73,25.52,0.74,2.07,1.7,73.56,1.61,2.55,2.3,1.67,0.73,28.27,21.64,33.41,1282.7,1.64,1.27,28.12,281.05,56.14,0.08,43.86,3.01,601.8,128.01,35.25,5.65,25.14,30.61,120.4,206.18,7.38,10.97,-297.37,3.22,9.77,0.03,0.97,-0.29,27758,7083,472,104,80,552,618,393,-3480,-266,60881,52709,34180,32148,24237,2.59,1.09,248.46,1.9,3.85,0.46,142.1,587.6,0.54,502.51,-0.13,-0.06,-7.8,-0.1,-10.82,000586
147,2.34,35.58,2.31,27.59,18.1,62.68,15.21,2.7,22.6,2.7,2.34,46,1.15,2.06,196.76,7.97,7.35,655.74,-151.61,13.39,0.07,86.61,2.49,227.25,15.46,57.81,2.96,70.15,59.54,7.02,537.75,39.32,-19.77,70.76,3.93,4.95,0.22,1.84,0.41,34132,12146,6178,132,-5,6173,5192,1996,8344,10030,222171,107602,29745,13502,192427,2.71,4.64,58.22,2.78,0.35,0.15,97.1,1777.49,0.31,859.6,0.24,0.04,1.61,0.28,61.8,603005
148,6.35,27.09,7,19.77,15.71,72.32,13.7,11.95,19.81,11.8,6.35,32.78,6.53,2.34,172.5,1.49,1.36,16.6,-3124.81,46.2,0.07,53.8,2.56,220.7,85.89,47.9,3.79,84.41,63.28,82.46,285.54,28.88,7.41,86.29,12.06,24.0,0.2,3.34,0.53,184951,50109,29064,694,-16,29048,25439,22694,33144,-930,398948,263129,184330,176983,212815,12.53,2.09,129.15,6.37,0.98,0.51,42.41,528.58,0.79,341.82,0.18,0.08,1.31,0.18,18.73,300303
149,4.07,41.25,4.78,18.5,14.48,57.95,12.35,5.5,26.71,6.13,4.07,54.99,19.75,0.17,284.08,2.11,1.64,60.93,1049.16,33.53,0.47,66.47,10.68,139.67,50.45,74.06,13.85,71.3,85.96,46.57,311.27,50.33,25.04,6.55,42.7,41.06,0.24,1.18,0.34,54076,22306,7828,-11,24,7852,5914,5045,3418,11346,163976,70284,54985,33238,107562,6.98,2.16,125.2,2.6,0.76,0.39,103.79,697.49,0.96,280.64,0.06,0.02,0.51,0.06,10.28,300227
150,2,8.3,2.09,4.46,4.15,91.34,3.38,4.22,23.17,5.15,2,8.27,1.67,9.39,199.57,1.11,0.69,45.05,-120.87,61.11,0.0,38.89,0.0,247,157.12,64.86,0.0,39.9,85.85,154.37,170.86,17.23,-20.02,-25.52,5.77,19.9,0.19,3,-0.01,1008610,83753,41871,3845,96,41967,27242,13306,-102526,-49313,1702295,1133904,1040235,1022001,646162,4.24,6.52,41.44,2.82,2.45,0.62,95.64,435.84,0.94,286.78,-0.1,-0.06,-3.01,-0.1,-10.03,000021
151,0.31,13.63,0.31,1.56,1.47,85.63,1.41,0.47,1.86,0.47,0.31,17.26,9.39,1.38,911.19,1.83,1.28,11.99,1.26,33.67,0.0,66.33,0.0,168.99,50.77,104.27,0.0,43.06,85.59,35.58,341.78,40.24,-10.57,-69.88,-4.29,-5.72,0.02,3.87,0.22,22145,3018,327,31,5,331,312,32,2380,-3597,99428,42987,33482,23464,65946,0.47,1.43,188.93,1.47,0.31,0.22,183.99,1210.76,0.53,512.04,0.11,0.02,7.62,0.07,10.15,300460
152,-2.54,23.96,-2.08,-7.54,-8.28,75.83,-10.09,-8.77,-0.25,-11.14,-2.54,21.48,56.73,-39.76,-239.25,1.28,1.18,61.76,7.76,77.25,0.0,22.75,0.0,195.6,339.48,53.52,0.0,46.77,6.26,339.48,131.73,12.31,-59.16,-72.87,0.0,-16.12,-0,1.17,0.36,1275,305,-105,73,-22,-128,-69,-251,-549,-743,5073,5001,3919,3919,789,-8.5,0.76,356.44,2.67,5.17,0.21,100.96,1311.32,0.21,1299.95,-0.43,-0.11,1.72,-0.14,-14.01,600870
153,-19.83,19.57,-17.47,-29.63,-27.8,79.88,-27.61,-38.21,-104.18,-37.9,-19.83,27.13,8.74,-5.63,-74.07,1.3,1.04,21.45,-4889.56,47.69,0.35,52.31,7.09,117.26,91.18,78.61,16.3,79.75,77.48,87.17,190.46,31.02,-8.66,-311.87,-36.73,-24.18,-1.02,0.48,0.36,268355,52518,-74613,282,3708,-70905,-72326,-69527,41479,-11364,373714,222251,178235,170390,189302,-30.58,2.71,99.49,4.9,1.4,0.63,55.15,426.74,1.21,223.51,0.15,0.11,1.48,0.23,24.34,300219
154,5.34,33.71,5.54,24.37,18.42,65.38,15.62,6.88,37.41,6.89,5.34,35.26,8.65,-1.13,184.59,1.85,1.39,30.84,3748.05,22.41,0.03,77.59,0.53,162.67,28.89,81.58,0.68,66.15,82.13,25.93,481.15,46.56,10.38,-17.49,2.84,13.48,0.37,3.72,0.48,193120,65104,35565,-104,-296,35269,29678,27517,46814,-11663,564608,204808,126545,110573,431309,6.81,2.19,123.49,2.61,0.48,0.35,103.53,760.78,0.96,280.93,0.24,0.08,1.55,0.37,42.34,002138
155,-10.25,-189.7,-9.85,-150.35,-843,258.76,-849.81,-16.02,-6.04,-16.02,-10.25,30.26,292.58,12.05,21.67,0.45,0.42,2.11,167803.01,36.01,0,63.99,0,351.78,56.29,63.37,0,84.39,131.51,55.66,208.18,0,-80.46,-157.72,-38.15,-21.53,-0.06,2.09,-0.34,244,-464,-2060,-178,-79,-2139,-2076,-2008,-432,-143,20253,3211,7294,7214,12959,-14.83,0.1,2830.19,4.74,0.65,0.01,57.02,23275.86,0.07,4011.89,-1.77,-0.02,-1.34,-0.06,-5.98,300028
156,4.69,33.13,4.61,20.41,15.93,65.92,14.6,6.05,37.04,6.05,4.69,34.44,11.01,0.47,208.46,5.07,3.79,207.74,-751.66,22.43,0.21,77.57,8.08,213.18,28.91,59.72,9.44,78.44,65.94,22.84,533.8,36.97,-34.55,-53.11,6.57,3.99,0.37,,1.04,65571,21726,10445,72,-23,10422,9575,9256,30515,4942,204015,99661,45752,19656,158263,6.05,1.83,147.25,1.5,0.53,0.32,180.38,855.24,0.61,443.28,0.47,0.15,3.19,0.67,155.24,002859
157,5.99,21.12,5.88,9.83,8.94,78.43,8.22,15.32,26.07,14.96,5.99,35.99,10.65,60.21,239.97,1.18,0.93,31.87,832.46,59.97,0.34,40.03,3.39,502.23,149.82,80.85,7.81,74.77,87.7,145.89,167.47,12.75,1.08,74.02,1.07,-3.89,0.25,3.61,0.29,128965,27234,11533,7018,-184,11349,10229,4115,9709,15673,177028,114882,106166,97377,66762,16.37,3.19,84.55,4.28,1.22,0.71,63.1,377.68,1.19,226.11,0.08,0.05,0.92,0.09,9.97,300322
158,-5.04,3.55,-4.33,-15.84,-17.48,96.1,-13.47,-12.03,-44.81,-12.03,-5.04,3.58,9.8,-4.12,-21.08,1.12,0.83,4.08,-411.2,58.12,0.07,41.88,0.51,978.73,138.76,86.89,1.2,66.13,87.95,135.66,174.41,4.51,-48.5,-324.07,-22.74,-18.39,-0.45,0.41,0.66,207058,7344,-36199,79,1357,-34843,-27889,-29947,-28656,-6540,553632,349692,321750,311740,231881,-11.3,0.86,314.65,2.35,7.16,0.32,114.86,839.29,0.47,575.33,-0.14,-0.05,-3.27,-0.09,-9.19,600734
159,2.65,25.92,2.7,9.92,8.52,73.32,7.03,7.43,33.64,7.68,2.65,24.54,10.21,-1.36,310.1,0.98,0.76,19.27,367.57,65.47,0.3,34.53,5.24,146.16,189.6,83.24,9.26,72.7,118.65,174.7,226.86,22.72,15.61,10.18,8.08,7.48,0.32,4.92,-0.45,74258,19246,6328,38,-122,6206,4918,3563,-2840,684,196796,116167,128842,118716,66222,7.66,1.57,172.2,2.21,0.96,0.38,122.38,702.94,0.67,404.86,-0.04,-0.01,-0.54,-0.02,-2.39,300566
160,4.48,36.41,4.6,14.56,12.38,62.84,10.43,6.05,13.32,6.13,4.48,28.48,21.68,-4.72,293.25,2.13,1.32,73.01,-1069.04,26.93,0,73.07,0,1855.98,36.86,9.97,0,56.76,59.39,36.44,414.69,0,6.75,65.32,5.04,-1.42,0.13,1.64,0,16087,5858,1991,-101,6,1997,1609,1495,423,-1486,37454,21202,10088,9972,26594,6.23,5.28,51.17,1.22,1.42,0.44,222.19,612.52,0.76,355.64,0.03,0.01,0.25,0.04,4.25,300220
161,-3.83,60.16,-3.52,-36.69,-35.42,38.29,-41.3,-7.19,-22.36,-7.17,-3.83,63.83,53.04,-66.57,-176.51,1.54,1.48,15.2,-55.29,46.53,0.09,53.47,2.13,1907.49,87.03,60.38,3.84,72.31,62.79,84.85,218.74,3.85,-52.55,-242.29,-3.36,-0.86,-0.22,7.07,0.3,64745,38948,-22933,13821,868,-22066,-26701,-32390,-68937,-54073,698006,463665,324808,301743,371225,-6.94,0.25,1099.8,0.77,0.74,0.09,350.97,3169.01,0.13,2141.16,-1.06,-0.1,0.12,-0.21,-22.85,300367
162,6.38,26.64,6.49,17.97,14.83,72.51,12.59,8.78,139.35,8.78,6.38,24.94,9.29,7.35,179.38,2.51,2.18,20.01,-1589.08,27.36,0.77,72.64,5.05,250.53,37.67,88.61,9.89,69.81,47.26,36.07,186.65,29.45,-0.73,11.41,11.49,3.23,1.43,7.75,0.96,163788,43630,24284,1749,38,24322,20621,18459,39960,-1060,323320,212336,88473,84718,234847,8.99,2.44,110.58,4.56,1.17,0.52,59.24,523.76,0.77,348.93,0.24,0.12,1.94,0.45,47.17,002913
163,10.6,65.8,11.24,68.12,38.18,32.97,34.44,11.89,73.81,11.88,10.6,69.01,21.85,8.29,172.33,6.21,5.17,64.12,-9419.3,10.75,0.21,89.25,8.59,1012.29,12.04,39.54,12.57,78.07,38.86,11.79,251.73,8.99,40.84,40.64,9.93,18.41,0.74,3.53,0.11,28065,18467,10716,888,0,10716,9679,8725,-4074,3372,91188,59564,9800,9594,81378,12.38,1.82,148.51,1.27,2.3,0.33,212.73,827.71,0.47,578.53,-0.15,-0.04,-0.42,-0.42,-42.46,603516
164,3.31,27,3.46,13.42,10.92,72.32,9.25,4.03,49.17,3.91,3.31,29.44,8.24,19.02,247.64,5.22,4.64,185.85,-696.29,15.22,0.04,84.78,1.68,810.01,17.95,45.3,2.15,73.77,25.95,17.64,428.48,10.61,58.75,-31.71,6.4,16.55,0.5,11.19,3.11,149218,40287,16292,3118,-23,16268,13953,10629,5019,18501,416918,325192,63435,62343,346124,4.09,3.62,74.61,3.81,2.18,0.37,70.78,722.5,0.47,570.22,0.03,0.01,0.36,0.08,8.05,300679
165,5.07,38.12,5.58,16.09,12.32,61.02,9.94,7.43,115.41,7.43,5.07,40.75,10.47,-1.89,327.41,1.98,1.66,22.31,-1815.25,31.76,-0.08,68.24,0.3,199.73,46.55,109.85,0.6,81.14,56.31,45.48,197.61,34.12,76.17,450.4,10.66,25.82,1.16,6.5,2.21,103008,39269,12694,473,-700,11994,10243,11464,23854,-20584,202043,124406,64172,62700,137870,7.78,2.44,110.71,3.81,0.85,0.56,70.93,481.28,0.96,279.85,0.23,0.12,2.33,0.37,38.05,300709
166,5.45,35.92,5.52,23.84,18.32,62.97,16.85,6.68,39.44,7.37,5.45,46.2,13.6,53.83,193.98,1.88,1.36,58.85,-445058.08,26.03,0.02,73.97,0.36,326.14,35.19,76.3,0.55,78.72,71.69,33.71,285.55,20.14,-13.21,-7.77,7.02,3.02,0.33,2.36,0.36,155852,55988,28555,15228,308,28862,21947,16332,14415,-7076,481798,226284,125405,120130,328475,6.72,2.21,121.91,1.68,0.71,0.33,160.51,823.17,0.67,401.25,0.09,0.03,0.55,0.11,12,002376
167,2.35,53.81,2.28,18.06,14.65,45.35,12.36,2.49,10.86,2.7,2.35,61.67,35.14,10.19,366.27,5.34,4.65,221.37,1545.17,12.79,0.16,87.21,4.65,608.18,14.67,70.28,5.06,77.99,74.03,12.94,862.59,0,-3.52,-36.33,1.28,-5.29,0.1,5.95,1.68,79612,42839,11664,1160,32,11696,9030,7090,3845,-54627,418516,148314,53529,27767,363085,2.5,3.12,86.66,1.81,1.05,0.18,148.87,1466.59,0.49,551.36,0.05,0.01,0.39,0.07,13.85,002308
168,7.95,26.06,7.84,23.34,18.44,73.56,15.52,12.87,31.17,12.9,7.95,32.8,5.16,-3.16,141.19,1.41,1.25,40.38,2362.54,38.35,0.04,61.65,0.45,174.24,62.21,102.13,0.72,84.47,102.88,42.94,371.89,0,-34.86,16.48,16.52,0.98,0.31,0.0,0.54,464443,121034,85633,-2798,93,85726,71201,69589,114743,-29159,906280,331506,347569,235840,553294,13.94,3.09,87.49,7.53,0.57,0.51,35.83,534.44,1.21,223.9,0.25,0.13,1.59,0.33,48.65,300088
169,3.92,20.86,4.04,7.27,6.23,78.77,5.33,4.5,99.04,6.34,3.92,22.47,8.99,2.98,325.6,1.68,1.18,37.42,788.58,38.21,0.06,61.79,1.36,6286.51,61.84,67.43,2.15,30.12,68.91,57.38,262.31,1.02,10.25,-0.53,5.57,11.75,0.61,4.44,-1.9,3795463,791719,236575,678,6579,243154,124182,91067,-286460,-32906,5167590,2967220,1974661,1761874,2759646,4.59,4.77,56.56,4.06,42.25,0.76,66.56,356.53,1.35,199.28,-0.08,-0.06,-1.42,-0.15,-16.26,000938
170,0.57,10.87,0.56,0.75,0.58,88.72,0.62,1.03,1.19,1.03,0.57,12.27,9.53,24.05,1467.88,1.11,0.87,11.47,159.32,44.72,0.28,55.28,8.2,354.36,80.89,51.7,13.76,47.1,90.78,80.87,192.36,14.77,12.05,578.74,1.92,-2.93,0.01,1,-0.02,54901,5967,319,10,88,407,338,199,5380,-249,59215,29497,26480,26474,32734,1.04,4.09,66.03,7.68,3.62,0.91,35.14,297.36,1.78,151.28,0.1,0.09,15.93,0.2,20.32,000020
171,1.36,44.01,1.32,10.32,9.24,54.91,8.49,1.55,4.16,1.55,1.36,60.66,31.21,3.09,488.77,5.14,4.74,316.35,-278.2,12.3,0,87.7,0,1328.97,14.02,18.6,0,80.33,43.49,13.73,294.45,0,-29.68,-29.15,4.91,-3.9,0.04,2.36,1.09,70071,30836,6471,357,-162,6309,5964,5609,54182,30609,437391,270580,53789,52650,383742,1.59,0.97,279.39,1.37,0.66,0.16,196.89,1732.99,0.25,1100.24,0.77,0.12,9.11,1.01,102.91,300079
172,5.36,25.38,5.23,21.36,17.82,73.7,15.1,6.38,40.27,6.39,5.36,29.0,8.22,11.77,143.41,3.33,2.83,138.77,-1807.35,16.12,0.13,83.88,2.32,259.18,19.22,78.31,3.18,44.92,64.72,16.39,364.01,32.43,-32.02,-59.8,4.61,-2.8,0.39,3.24,0.09,238723,60591,42540,5262,-290,42250,35340,29636,50042,6427,672945,307656,108489,92503,554287,6.42,3.23,83.68,3.66,0.74,0.35,73.74,778.77,0.73,367.45,0.21,0.07,1.39,0.46,54.1,000636
173,2.84,18.09,2.89,9.39,8.52,81.44,6.24,3.44,17.3,3.46,2.84,18.43,8.64,-0.99,212.66,4.29,2.98,106.76,-1318.05,17.8,0.0,82.2,0.0,488.17,21.66,33.45,0.0,50.97,33.26,20.61,597.51,16.95,-1.87,-21.02,2.86,6.38,0.15,6.02,2.68,295182,53387,25149,-204,-45,25104,15608,13730,40608,15128,647762,470693,115322,109757,453055,3.47,2.54,106.34,1.66,1.73,0.46,162.77,584.04,0.64,423.93,0.14,0.06,2.2,0.35,37,000970
174,22.04,64.49,23.94,136.17,58.05,34.31,52.96,23.84,164.06,23.84,22.04,65.19,7.13,8.96,111.09,12.74,12.07,116.53,-21817.59,7.55,,92.45,,3879.08,8.17,,,70.88,4.45,8.14,,2.22,40.69,48.11,23.99,27.97,1.64,14.37,6.25,185583,119689,107738,9652,5,107743,98286,89097,76787,1879,445946,427619,33685,33577,412260,25.13,4.85,55.65,3.04,11.77,0.45,88.96,597.21,0.47,573.01,0.41,0.17,0.78,2.28,228.69,300628
175,-10.1,-0.17,-9.24,-24.19,-31.51,98.41,-31.41,-19.22,-18.22,-19.22,-10.1,19.17,28.68,-1.09,0.54,0.91,0.65,25.82,-447,47.44,-2.08,52.56,6.91,530.62,90.27,112.22,11.62,72.0,126.98,82.75,215.85,8.98,-31.89,130.45,-34.19,-28.37,-0.18,1.99,0.46,16255,-27,-5122,0.0,55,-5067,-5106,-6006,-1626,-1817,50549,16814,23981,18493,26568,-17.54,2.33,115.68,3.29,1.21,0.29,82.1,917.74,0.78,347.18,-0.1,-0.03,0.7,-0.07,-8.8,002289
176,7.15,26.89,7.39,18.83,15.46,72.54,12.95,12.13,97.52,10.84,7.15,28.52,7.76,0.95,176.58,1.95,1.64,34.05,-3280.78,34.06,0.08,65.94,3.42,206,51.65,44.5,4.93,73.18,56.07,49.05,298.89,31.97,24.52,-6.56,36.85,23.65,1.07,4.2,0.55,453459,121944,70090,1687,-1033,69058,63089,57138,75523,-31844,821866,518007,279901,265851,519936,13.36,2.47,109.1,4.36,1.17,0.57,61.88,473.02,0.91,298.01,0.17,0.09,1.29,0.27,28.41,603228
177,5.09,24.23,5.07,17.84,14.8,75.2,11.95,8.74,49.86,8.62,5.09,29.06,5.5,-0.75,167.06,1.55,1.18,28.79,-433408.55,40.94,0.0,59.06,0.0,179.06,69.33,67.62,0.0,65.0,69.88,64.04,263.87,33.13,-7.71,-17.69,5.36,-0.62,0.51,0,0.57,258040,62519,38200,497,-776,37423,31296,28224,32585,-19103,605686,355706,247981,229089,357933,8.88,3.85,70.14,2.38,0.85,0.42,113.37,636.49,0.72,375.1,0.13,0.05,1.06,0.13,14.22,002449
